LGA_2021,Region,Year,OBS_VALUE
10900, Blue Mountains,2001,76528
10900, Blue Mountains,2002,76656
10900, Blue Mountains,2003,76651
10900, Blue Mountains,2004,76436
10900, Blue Mountains,2005,75971
10900, Blue Mountains,2006,75600
10900, Blue Mountains,2007,76198
10900, Blue Mountains,2008,77102
10900, Blue Mountains,2009,77869
10900, Blue Mountains,2010,78227
10900, Blue Mountains,2011,78553
10900, Blue Mountains,2012,78532
10900, Blue Mountains,2013,78705
10900, Blue Mountains,2014,78867
10900, Blue Mountains,2015,78889
10900, Blue Mountains,2016,78835
10900, Blue Mountains,2017,78948
10900, Blue Mountains,2018,79027
10900, Blue Mountains,2019,78969
10900, Blue Mountains,2020,78891
10900, Blue Mountains,2021,78360
13310, Goulburn Mulwaree,2001,26401
13310, Goulburn Mulwaree,2002,26526
13310, Goulburn Mulwaree,2003,26576
13310, Goulburn Mulwaree,2004,26559
13310, Goulburn Mulwaree,2005,26615
13310, Goulburn Mulwaree,2006,26695
13310, Goulburn Mulwaree,2007,26803
13310, Goulburn Mulwaree,2008,27166
13310, Goulburn Mulwaree,2009,27654
13310, Goulburn Mulwaree,2010,28083
13310, Goulburn Mulwaree,2011,28363
13310, Goulburn Mulwaree,2012,28730
13310, Goulburn Mulwaree,2013,29187
13310, Goulburn Mulwaree,2014,29486
13310, Goulburn Mulwaree,2015,29815
13310, Goulburn Mulwaree,2016,30261
13310, Goulburn Mulwaree,2017,30627
13310, Goulburn Mulwaree,2018,31037
13310, Goulburn Mulwaree,2019,31442
13310, Goulburn Mulwaree,2020,31872
13310, Goulburn Mulwaree,2021,32138
35010, Moreton Bay,2001,283062
35010, Moreton Bay,2002,291543
35010, Moreton Bay,2003,302027
35010, Moreton Bay,2004,312887
35010, Moreton Bay,2005,323085
35010, Moreton Bay,2006,331713
35010, Moreton Bay,2007,344545
35010, Moreton Bay,2008,357499
35010, Moreton Bay,2009,370447
35010, Moreton Bay,2010,381357
35010, Moreton Bay,2011,390051
35010, Moreton Bay,2012,401188
35010, Moreton Bay,2013,410687
35010, Moreton Bay,2014,419764
35010, Moreton Bay,2015,428994
35010, Moreton Bay,2016,439292
35010, Moreton Bay,2017,448721
35010, Moreton Bay,2018,458331
35010, Moreton Bay,2019,467798
35010, Moreton Bay,2020,477415
35010, Moreton Bay,2021,484428
36630, South Burnett,2001,27651
36630, South Burnett,2002,27942
36630, South Burnett,2003,28251
36630, South Burnett,2004,28630
36630, South Burnett,2005,29050
36630, South Burnett,2006,29699
36630, South Burnett,2007,30114
36630, South Burnett,2008,30583
36630, South Burnett,2009,31173
36630, South Burnett,2010,31518
36630, South Burnett,2011,31803
36630, South Burnett,2012,32340
36630, South Burnett,2013,32647
36630, South Burnett,2014,32606
36630, South Burnett,2015,32589
36630, South Burnett,2016,32625
36630, South Burnett,2017,32690
36630, South Burnett,2018,32719
36630, South Burnett,2019,32816
36630, South Burnett,2020,33004
36630, South Burnett,2021,33325
8, Australian Capital Territory,2001,321538
8, Australian Capital Territory,2002,324627
8, Australian Capital Territory,2003,327357
8, Australian Capital Territory,2004,328940
8, Australian Capital Territory,2005,331399
8, Australian Capital Territory,2006,335170
8, Australian Capital Territory,2007,342644
8, Australian Capital Territory,2008,348368
8, Australian Capital Territory,2009,354785
8, Australian Capital Territory,2010,361766
8, Australian Capital Territory,2011,367985
8, Australian Capital Territory,2012,376539
8, Australian Capital Territory,2013,383257
8, Australian Capital Territory,2014,388799
8, Australian Capital Territory,2015,395813
8, Australian Capital Territory,2016,403104
8, Australian Capital Territory,2017,416824
8, Australian Capital Territory,2018,430140
8, Australian Capital Territory,2019,441277
8, Australian Capital Territory,2020,450632
8, Australian Capital Territory,2021,453558
14600, Lachlan,2001,7651
14600, Lachlan,2002,7529
14600, Lachlan,2003,7366
14600, Lachlan,2004,7214
14600, Lachlan,2005,7071
14600, Lachlan,2006,6932
14600, Lachlan,2007,6821
14600, Lachlan,2008,6793
14600, Lachlan,2009,6779
14600, Lachlan,2010,6765
14600, Lachlan,2011,6802
14600, Lachlan,2012,6749
14600, Lachlan,2013,6681
14600, Lachlan,2014,6624
14600, Lachlan,2015,6541
14600, Lachlan,2016,6444
14600, Lachlan,2017,6399
14600, Lachlan,2018,6333
14600, Lachlan,2019,6262
14600, Lachlan,2020,6209
14600, Lachlan,2021,6149
27630, Yarriambiack,2001,8184
27630, Yarriambiack,2002,8095
27630, Yarriambiack,2003,7982
27630, Yarriambiack,2004,7847
27630, Yarriambiack,2005,7715
27630, Yarriambiack,2006,7609
27630, Yarriambiack,2007,7505
27630, Yarriambiack,2008,7438
27630, Yarriambiack,2009,7412
27630, Yarriambiack,2010,7312
27630, Yarriambiack,2011,7183
27630, Yarriambiack,2012,7095
27630, Yarriambiack,2013,7032
27630, Yarriambiack,2014,6924
27630, Yarriambiack,2015,6826
27630, Yarriambiack,2016,6743
27630, Yarriambiack,2017,6705
27630, Yarriambiack,2018,6693
27630, Yarriambiack,2019,6669
27630, Yarriambiack,2020,6633
27630, Yarriambiack,2021,6511
36720, Sunshine Coast,2001,198931
36720, Sunshine Coast,2002,205772
36720, Sunshine Coast,2003,214931
36720, Sunshine Coast,2004,223143
36720, Sunshine Coast,2005,230168
36720, Sunshine Coast,2006,236654
36720, Sunshine Coast,2007,243309
36720, Sunshine Coast,2008,250800
36720, Sunshine Coast,2009,258047
36720, Sunshine Coast,2010,263053
36720, Sunshine Coast,2011,267241
36720, Sunshine Coast,2012,274828
36720, Sunshine Coast,2013,281969
36720, Sunshine Coast,2014,288652
36720, Sunshine Coast,2015,295317
36720, Sunshine Coast,2016,302841
36720, Sunshine Coast,2017,311533
36720, Sunshine Coast,2018,320809
36720, Sunshine Coast,2019,330265
36720, Sunshine Coast,2020,338921
36720, Sunshine Coast,2021,346648
16400, Port Stephens,2001,58509
16400, Port Stephens,2002,59506
16400, Port Stephens,2003,60410
16400, Port Stephens,2004,61256
16400, Port Stephens,2005,61918
16400, Port Stephens,2006,62132
16400, Port Stephens,2007,63425
16400, Port Stephens,2008,64316
16400, Port Stephens,2009,65521
16400, Port Stephens,2010,66447
16400, Port Stephens,2011,67214
16400, Port Stephens,2012,68012
16400, Port Stephens,2013,68750
16400, Port Stephens,2014,69537
16400, Port Stephens,2015,70257
16400, Port Stephens,2016,71115
16400, Port Stephens,2017,71785
16400, Port Stephens,2018,72525
16400, Port Stephens,2019,73386
16400, Port Stephens,2020,74290
16400, Port Stephens,2021,75282
11750, Cobar,2001,4990
11750, Cobar,2002,4984
11750, Cobar,2003,4949
11750, Cobar,2004,4913
11750, Cobar,2005,4913
11750, Cobar,2006,4941
11750, Cobar,2007,4954
11750, Cobar,2008,4887
11750, Cobar,2009,4853
11750, Cobar,2010,4844
11750, Cobar,2011,4782
11750, Cobar,2012,4759
11750, Cobar,2013,4740
11750, Cobar,2014,4727
11750, Cobar,2015,4703
11750, Cobar,2016,4687
11750, Cobar,2017,4603
11750, Cobar,2018,4524
11750, Cobar,2019,4395
11750, Cobar,2020,4206
11750, Cobar,2021,4098
26170, South Gippsland,2001,25762
26170, South Gippsland,2002,25786
26170, South Gippsland,2003,25910
26170, South Gippsland,2004,25957
26170, South Gippsland,2005,26068
26170, South Gippsland,2006,26128
26170, South Gippsland,2007,26350
26170, South Gippsland,2008,26556
26170, South Gippsland,2009,26903
26170, South Gippsland,2010,27173
26170, South Gippsland,2011,27512
26170, South Gippsland,2012,27926
26170, South Gippsland,2013,28273
26170, South Gippsland,2014,28521
26170, South Gippsland,2015,28781
26170, South Gippsland,2016,29122
26170, South Gippsland,2017,29346
26170, South Gippsland,2018,29577
26170, South Gippsland,2019,29887
26170, South Gippsland,2020,30222
