LGA_2021,OBS_VALUE,Population_Density
10050,50004.0,163.605
10180,28505.0,3.65
10250,41382.0,85.33
10300,2429.0,0.112
10470,39631.0,10.38
10500,149333.0,2950.064
10550,33015.0,5.258
10600,12869.0,8.041
10650,8351.0,4.043
10750,318112.0,1331.866
10800,6082.0,0.711
10850,7069.0,4.636
10900,77801.0,54.363
10950,2885.0,0.198
11150,3031.0,0.073
11200,1848.0,0.096
11250,19088.0,112.204
11300,35250.0,4945.208
11350,31831.0,56.258
11400,13137.0,2.181
11450,68375.0,339.283
11500,156065.0,501.155
11520,79257.0,3977.965
11570,337891.0,3065.118
11600,2879.0,0.152
11650,321476.0,191.24
11700,2004.0,0.037
11720,53073.0,27.007
11730,50712.0,4.863
11750,4736.0,0.104
11800,70861.0,60.372
12000,4244.0,1.746
12150,4221.0,0.426
12160,11296.0,2.837
12350,12687.0,4.517
12380,204266.0,2807.79
12390,49842.0,6.615
12700,8705.0,3.869
12730,9115.0,1.026
12750,36978.0,10.786
12850,197392.0,1944.609
12870,12458.0,2.191
12900,9652.0,2.049
12930,141674.0,3695.442
12950,4483.0,0.928
13010,8912.0,1.626
13310,28668.0,8.903
13340,10333.0,1.797
13450,25522.0,15.57
13550,12367.0,2.48
13660,5283.0,0.571
13800,64453.0,23.225
13850,3198.0,0.282
13910,18583.0,2.602
14000,142887.0,314.011
14100,13949.0,2439.959
14170,179067.0,5085.457
14220,17452.0,1.856
14300,6146.0,3.028
14350,28912.0,8.565
14400,20997.0,81.491
14500,114827.0,1344.435
14550,9414.0,2.627
14600,6767.0,0.452
14650,197162.0,303.963
14700,34587.0,3300.66
14750,11518.0,9.868
14850,43790.0,34.006
14870,20812.0,4.612
14900,191904.0,627.67
14920,7785.0,1.532
14950,3234.0,1.117
15050,71502.0,182.631
15240,88568.0,8.809
15270,23329.0,2.665
15300,14142.0,0.79
15350,28911.0,3342.235
15520,11518.0,0.971
15560,4016.0,0.584
15650,16037.0,4.71
15700,19086.0,12.798
15750,13479.0,1.036
15800,6098.0,1.481
15850,6721.0,1.277
15900,154659.0,828.269
15950,66132.0,6303.721
15990,249637.0,982.022
16100,5297.0,1.461
16150,39360.0,138.488
16200,14825.0,2.488
16260,209330.0,2497.072
16350,190390.0,470.444
16380,75481.0,20.498
16400,66933.0,77.971
16490,54200.0,10.19
16550,136019.0,3743.871
16610,22494.0,7.381
16700,111659.0,2758.738
16900,66677.0,452.294
16950,96590.0,21.149
17000,23111.0,4.724
17040,20372.0,1.343
17080,14765.0,1.648
17100,37766.0,2697.438
17150,220288.0,660.373
17200,186919.0,7006.966
17310,58221.0,5.89
17350,6070.0,2.166
17400,6782.0,0.926
17420,150599.0,389.993
17550,87416.0,66.843
17620,13931.0,1.721
17640,7596.0,1.066
17650,6078.0,1.884
17750,61603.0,12.769
17850,3164.0,0.505
17900,6781.0,0.304
17950,2850.0,0.265
18020,9869.0,0.798
18050,67956.0,7267.504
18100,3711.0,1.087
18200,7018.0,0.267
18250,71201.0,3174.967
18350,46592.0,17.325
18400,45410.0,17.77
18450,201490.0,294.444
18500,55178.0,4501.263
18710,15062.0,3.77
19399,1116.0,0.012
20110,12478.0,2.606
20260,11557.0,2.744
20570,95792.0,129.618
20660,123106.0,1968.432
20740,30905.0,35.695
20830,44186.0,10.971
20910,96566.0,2595.095
21010,13948.0,5.929
21110,167559.0,2784.415
21180,188576.0,1528.177
21270,6598.0,0.825
21370,37198.0,8.231
21450,78563.0,61.255
21610,268185.0,655.022
21670,12842.0,8.378
21750,21125.0,6.146
21830,16560.0,3.757
21890,142736.0,2669.397
22110,43135.0,2.06
22170,129474.0,999.044
22250,10934.0,2.925
22310,138207.0,3572.091
22410,19942.0,3.207
22490,19395.0,7.174
22620,103593.0,34.531
22670,144710.0,1117.053
22750,222350.0,178.167
22830,62332.0,25.737
22910,14891.0,10.11
22980,5970.0,0.793
23110,88383.0,1375.82
23190,19357.0,4.537
23270,181856.0,360.933
23350,15601.0,7.646
23430,148500.0,1625.306
23670,155151.0,1362.032
23810,72969.0,51.184
23940,7791.0,1.163
24130,43560.0,24.916
24210,118516.0,1045.597
24250,8077.0,2.101
24330,75670.0,2423.323
24410,108194.0,1761.831
24600,110814.0,2951.476
24650,112830.0,213.88
24780,52641.0,2.384
24850,36595.0,12.786
24900,28419.0,7.024
24970,179485.0,2202.729
25060,114013.0,2642.954
25150,29701.0,14.073
25250,156153.0,3064.69
25340,150842.0,208.347
25430,18201.0,11.899
25490,16239.0,2.962
25620,13814.0,3.561
25710,62649.0,144.907
25810,12047.0,2.103
25900,97661.0,4737.603
25990,6931.0,2.018
26080,3061.0,355.278
26170,27721.0,8.41
26260,16581.0,2.492
26350,101211.0,3945.685
26430,9989.0,3.024
26490,27134.0,17.473
26610,21055.0,3.443
26670,6074.0,0.91
26700,27652.0,7.586
26730,32588.0,269.437
26810,42339.0,3.914
26890,4295.0,0.471
26980,159472.0,2480.895
27070,168182.0,343.443
27170,36869.0,85.148
27260,175541.0,323.82
27350,81806.0,4186.127
27450,149616.0,60.617
27630,7243.0,0.989
29399,772.0,2.724
30250,1238.0,0.167
30300,4761.0,0.153
30370,14866.0,0.521
30410,3189.0,0.06
30450,348.0,0.006
30760,2107.0,0.069
30900,470.0,0.008
31000,1088228.0,810.467
31750,386.0,0.005
31820,90082.0,14.007
31900,17552.0,3.48
31950,474.0,0.012
32080,146921.0,86.97
32250,2132.0,0.033
32260,29148.0,6.218
32270,27995.0,0.468
32310,12073.0,0.177
32330,1236.0,39.115
32450,3383.0,0.071
32500,4067.0,0.038
32600,288.0,0.01
32750,294.0,0.003
32770,1323.0,0.724
32810,11335.0,4.669
33100,864.0,0.022
33200,1762.0,0.043
33220,94798.0,13.343
33360,57427.0,5.477
33430,513642.0,385.216
33610,10606.0,0.551
33620,46459.0,6.749
33800,11546.0,4.113
33830,953.0,0.857
33960,173209.0,158.347
33980,21357.0,0.364
34420,1047.0,0.41
34530,33301.0,2.832
34570,626.0,0.175
34580,35408.0,15.605
34590,288876.0,301.498
34710,4082.0,0.101
34770,110538.0,14.519
34800,943.0,0.023
34830,294.0,0.548
34860,12928.0,0.22
34880,20575.0,0.385
35010,386897.0,189.518
35250,1127.0,0.904
35300,20509.0,0.469
35600,4585.0,0.113
35670,900.0,0.449
35740,51052.0,58.689
35760,10408.0,0.529
35780,2484.0,2.361
35790,2333.0,32.412
35800,1882.0,0.04
36070,686.0,0.156
36150,930.0,0.014
36250,141716.0,263.82
36300,888.0,0.033
36370,77937.0,11.862
36510,37460.0,8.829
36580,22113.0,4.115
36630,31132.0,3.714
36660,34201.0,4.813
36720,270659.0,120.087
36820,24318.0,2.153
36910,155459.0,11.998
36950,3576.0,4.046
36960,4529.0,9.242
37010,174919.0,46.885
37300,3393.0,324.254
37310,31765.0,0.838
37340,32574.0,1.368
37400,1331.0,0.025
37550,972.0,2.489
37570,311.0,26.279
37600,2542.0,16.006
40070,20441.0,1312.576
40120,39611.0,49.856
40150,8536.0,9.154
40220,23872.0,13.068
40250,2521.0,0.025
40310,22556.0,25.243
