Code,Region,Year,Population,Change_Amount_Over_Prevoius_Year,Change_Percent_Over_Prevoius_Year
1, New South Wales,2000-Q1,6431826,71274,1.1
1, New South Wales,2000-Q2,6446558,71455,1.1
1, New South Wales,2000-Q3,6465614,72514,1.1
1, New South Wales,2000-Q4,6485081,75110,1.2
1, New South Wales,2001-Q1,6513844,82018,1.3
1, New South Wales,2001-Q2,6530349,83791,1.3
1, New South Wales,2001-Q3,6544891,79277,1.2
1, New South Wales,2001-Q4,6558484,73403,1.1
1, New South Wales,2002-Q1,6575296,61452,0.9
1, New South Wales,2002-Q2,6580807,50458,0.8
1, New South Wales,2002-Q3,6590659,45768,0.7
1, New South Wales,2002-Q4,6599441,40957,0.6
1, New South Wales,2003-Q1,6615712,40416,0.6
1, New South Wales,2003-Q2,6620715,39908,0.6
1, New South Wales,2003-Q3,6627538,36879,0.6
1, New South Wales,2003-Q4,6634509,35068,0.5
1, New South Wales,2004-Q1,6648280,32568,0.5
1, New South Wales,2004-Q2,6650735,30020,0.5
1, New South Wales,2004-Q3,6660416,32878,0.5
1, New South Wales,2004-Q4,6669206,34697,0.5
1, New South Wales,2005-Q1,6685875,37595,0.6
1, New South Wales,2005-Q2,6693206,42471,0.6
1, New South Wales,2005-Q3,6707429,47013,0.7
1, New South Wales,2005-Q4,6718023,48817,0.7
1, New South Wales,2006-Q1,6735528,49653,0.7
1, New South Wales,2006-Q2,6742690,49484,0.7
1, New South Wales,2006-Q3,6766133,58704,0.9
1, New South Wales,2006-Q4,6786160,68137,1
1, New South Wales,2007-Q1,6815359,79831,1.2
1, New South Wales,2007-Q2,6834156,91466,1.4
1, New South Wales,2007-Q3,6859736,93603,1.4
1, New South Wales,2007-Q4,6883852,97692,1.4
1, New South Wales,2008-Q1,6919907,104548,1.5
1, New South Wales,2008-Q2,6943461,109305,1.6
1, New South Wales,2008-Q3,6972395,112659,1.6
1, New South Wales,2008-Q4,7001782,117930,1.7
1, New South Wales,2009-Q1,7032423,112516,1.6
1, New South Wales,2009-Q2,7053755,110294,1.6
1, New South Wales,2009-Q3,7079175,106780,1.5
1, New South Wales,2009-Q4,7101504,99722,1.4
1, New South Wales,2010-Q1,7128356,95933,1.4
1, New South Wales,2010-Q2,7144292,90537,1.3
1, New South Wales,2010-Q3,7162726,83551,1.2
1, New South Wales,2010-Q4,7179891,78387,1.1
1, New South Wales,2011-Q1,7204737,76381,1.1
1, New South Wales,2011-Q2,7218529,74237,1
1, New South Wales,2011-Q3,7239528,76802,1.1
1, New South Wales,2011-Q4,7258722,78831,1.1
1, New South Wales,2012-Q1,7284982,80245,1.1
1, New South Wales,2012-Q2,7304244,85715,1.2
1, New South Wales,2012-Q3,7327614,88086,1.2
1, New South Wales,2012-Q4,7353189,94467,1.3
1, New South Wales,2013-Q1,7382957,97975,1.3
1, New South Wales,2013-Q2,7404032,99788,1.4
1, New South Wales,2013-Q3,7430904,103290,1.4
1, New South Wales,2013-Q4,7454938,101749,1.4
1, New South Wales,2014-Q1,7487834,104877,1.4
1, New South Wales,2014-Q2,7508353,104321,1.4
1, New South Wales,2014-Q3,7536277,105373,1.4
1, New South Wales,2014-Q4,7562171,107233,1.4
1, New South Wales,2015-Q1,7595731,107897,1.4
1, New South Wales,2015-Q2,7616168,107815,1.4
1, New South Wales,2015-Q3,7645324,109047,1.4
1, New South Wales,2015-Q4,7671401,109230,1.4
1, New South Wales,2016-Q1,7707412,111681,1.5
1, New South Wales,2016-Q2,7732858,116690,1.5
1, New South Wales,2016-Q3,7766661,121337,1.6
1, New South Wales,2016-Q4,7793277,121876,1.6
1, New South Wales,2017-Q1,7830034,122622,1.6
1, New South Wales,2017-Q2,7850871,118013,1.5
1, New South Wales,2017-Q3,7879081,112420,1.4
1, New South Wales,2017-Q4,7894008,100731,1.3
1, New South Wales,2018-Q1,7926788,96754,1.2
1, New South Wales,2018-Q2,7945580,94709,1.2
1, New South Wales,2018-Q3,7974615,95534,1.2
1, New South Wales,2018-Q4,7992853,98845,1.3
1, New South Wales,2019-Q1,8021476,94688,1.2
1, New South Wales,2019-Q2,8034305,88725,1.1
1, New South Wales,2019-Q3,8058106,83491,1
1, New South Wales,2019-Q4,8074458,81605,1
1, New South Wales,2020-Q1,8096849,75373,0.9
1, New South Wales,2020-Q2,8094317,60012,0.7
1, New South Wales,2020-Q3,8089778,31672,0.4
1, New South Wales,2020-Q4,8093759,19301,0.2
2, Victoria,2000-Q1,4695560,50408,1.1
2, Victoria,2000-Q2,4704065,51603,1.1
2, Victoria,2000-Q3,4718436,52810,1.1
2, Victoria,2000-Q4,4730855,53274,1.1
2, Victoria,2001-Q1,4753725,58165,1.2
2, Victoria,2001-Q2,4763615,59550,1.3
2, Victoria,2001-Q3,4776052,57616,1.2
2, Victoria,2001-Q4,4790212,59357,1.3
2, Victoria,2002-Q1,4808940,55215,1.2
2, Victoria,2002-Q2,4817774,54159,1.1
2, Victoria,2002-Q3,4830383,54331,1.1
2, Victoria,2002-Q4,4845024,54812,1.1
2, Victoria,2003-Q1,4864214,55274,1.1
2, Victoria,2003-Q2,4873809,56035,1.2
2, Victoria,2003-Q3,4887826,57443,1.2
2, Victoria,2003-Q4,4900176,55152,1.1
2, Victoria,2004-Q1,4918070,53856,1.1
2, Victoria,2004-Q2,4927149,53340,1.1
2, Victoria,2004-Q3,4943359,55533,1.1
2, Victoria,2004-Q4,4957147,56971,1.2
2, Victoria,2005-Q1,4978342,60272,1.2
2, Victoria,2005-Q2,4989246,62097,1.3
2, Victoria,2005-Q3,5006241,62882,1.3
2, Victoria,2005-Q4,5023203,66056,1.3
2, Victoria,2006-Q1,5048207,69865,1.4
2, Victoria,2006-Q2,5061266,72020,1.4
2, Victoria,2006-Q3,5083593,77352,1.5
2, Victoria,2006-Q4,5103965,80762,1.6
2, Victoria,2007-Q1,5134074,85867,1.7
2, Victoria,2007-Q2,5153522,92256,1.8
2, Victoria,2007-Q3,5178515,94922,1.9
2, Victoria,2007-Q4,5199503,95538,1.9
2, Victoria,2008-Q1,5233000,98926,1.9
2, Victoria,2008-Q2,5256375,102853,2
2, Victoria,2008-Q3,5286549,108034,2.1
2, Victoria,2008-Q4,5313285,113782,2.2
2, Victoria,2009-Q1,5347672,114672,2.2
2, Victoria,2009-Q2,5371934,115559,2.2
2, Victoria,2009-Q3,5398874,112325,2.1
2, Victoria,2009-Q4,5419249,105964,2
2, Victoria,2010-Q1,5445172,97500,1.8
2, Victoria,2010-Q2,5461101,89167,1.7
2, Victoria,2010-Q3,5478710,79836,1.5
2, Victoria,2010-Q4,5495711,76462,1.4
2, Victoria,2011-Q1,5520378,75206,1.4
2, Victoria,2011-Q2,5537817,76716,1.4
2, Victoria,2011-Q3,5564662,85952,1.6
2, Victoria,2011-Q4,5591818,96107,1.7
2, Victoria,2012-Q1,5625354,104976,1.9
2, Victoria,2012-Q2,5651091,113274,2
2, Victoria,2012-Q3,5680420,115758,2.1
2, Victoria,2012-Q4,5709586,117768,2.1
2, Victoria,2013-Q1,5744915,119561,2.1
2, Victoria,2013-Q2,5772669,121578,2.2
2, Victoria,2013-Q3,5804499,124079,2.2
2, Victoria,2013-Q4,5832585,122999,2.2
2, Victoria,2014-Q1,5869511,124596,2.2
2, Victoria,2014-Q2,5894917,122248,2.1
2, Victoria,2014-Q3,5927199,122700,2.1
2, Victoria,2014-Q4,5957512,124927,2.1
2, Victoria,2015-Q1,5995205,125694,2.1
2, Victoria,2015-Q2,6022322,127405,2.2
2, Victoria,2015-Q3,6057558,130359,2.2
2, Victoria,2015-Q4,6093049,135537,2.3
2, Victoria,2016-Q1,6138627,143422,2.4
2, Victoria,2016-Q2,6173172,150850,2.5
2, Victoria,2016-Q3,6204753,147195,2.4
2, Victoria,2016-Q4,6233980,140931,2.3
2, Victoria,2017-Q1,6276233,137606,2.2
2, Victoria,2017-Q2,6299798,126626,2.1
2, Victoria,2017-Q3,6330095,125342,2
2, Victoria,2017-Q4,6354267,120287,1.9
2, Victoria,2018-Q1,6394316,118083,1.9
2, Victoria,2018-Q2,6418168,118370,1.9
2, Victoria,2018-Q3,6449493,119398,1.9
2, Victoria,2018-Q4,6473672,119405,1.9
2, Victoria,2019-Q1,6512352,118036,1.8
2, Victoria,2019-Q2,6530852,112684,1.8
2, Victoria,2019-Q3,6561572,112079,1.7
2, Victoria,2019-Q4,6583405,109733,1.7
2, Victoria,2020-Q1,6609129,96777,1.5
2, Victoria,2020-Q2,6606149,75297,1.2
2, Victoria,2020-Q3,6589529,27957,0.4
2, Victoria,2020-Q4,6572854,-10551,-0.2
3, Queensland,2000-Q1,3497147,54951,1.6
3, Queensland,2000-Q2,3509458,55522,1.6
3, Queensland,2000-Q3,3523446,57047,1.6
3, Queensland,2000-Q4,3537670,56636,1.6
3, Queensland,2001-Q1,3556466,59319,1.7
3, Queensland,2001-Q2,3571469,62011,1.8
3, Queensland,2001-Q3,3590969,67523,1.9
3, Queensland,2001-Q4,3611203,73533,2.1
3, Queensland,2002-Q1,3631451,74985,2.1
3, Queensland,2002-Q2,3653123,81654,2.3
3, Queensland,2002-Q3,3676870,85901,2.4
3, Queensland,2002-Q4,3700791,89588,2.5
3, Queensland,2003-Q1,3723239,91788,2.5
3, Queensland,2003-Q2,3743121,89998,2.5
3, Queensland,2003-Q3,3765109,88239,2.4
3, Queensland,2003-Q4,3788560,87769,2.4
3, Queensland,2004-Q1,3810921,87682,2.4
3, Queensland,2004-Q2,3829970,86849,2.3
3, Queensland,2004-Q3,3849852,84743,2.3
3, Queensland,2004-Q4,3872351,83791,2.2
3, Queensland,2005-Q1,3896951,86030,2.3
3, Queensland,2005-Q2,3918494,88524,2.3
3, Queensland,2005-Q3,3940494,90642,2.4
3, Queensland,2005-Q4,3964175,91824,2.4
3, Queensland,2006-Q1,3987653,90702,2.3
3, Queensland,2006-Q2,4007992,89498,2.3
3, Queensland,2006-Q3,4031580,91086,2.3
3, Queensland,2006-Q4,4055845,91670,2.3
3, Queensland,2007-Q1,4084531,96878,2.4
3, Queensland,2007-Q2,4111018,103026,2.6
3, Queensland,2007-Q3,4134958,103378,2.6
3, Queensland,2007-Q4,4159990,104145,2.6
3, Queensland,2008-Q1,4191479,106948,2.6
3, Queensland,2008-Q2,4219505,108487,2.6
3, Queensland,2008-Q3,4247991,113033,2.7
3, Queensland,2008-Q4,4275551,115561,2.8
3, Queensland,2009-Q1,4305605,114126,2.7
3, Queensland,2009-Q2,4328771,109266,2.6
3, Queensland,2009-Q3,4350135,102144,2.4
3, Queensland,2009-Q4,4367454,91903,2.1
3, Queensland,2010-Q1,4387801,82196,1.9
3, Queensland,2010-Q2,4404744,75973,1.8
3, Queensland,2010-Q3,4421470,71335,1.6
3, Queensland,2010-Q4,4436882,69428,1.6
3, Queensland,2011-Q1,4457971,70170,1.6
3, Queensland,2011-Q2,4476778,72034,1.6
3, Queensland,2011-Q3,4498104,76634,1.7
3, Queensland,2011-Q4,4518649,81767,1.8
3, Queensland,2012-Q1,4545613,87642,2
3, Queensland,2012-Q2,4568687,91909,2.1
3, Queensland,2012-Q3,4592100,93996,2.1
3, Queensland,2012-Q4,4611304,92655,2.1
3, Queensland,2013-Q1,4634430,88817,2
3, Queensland,2013-Q2,4652824,84137,1.8
3, Queensland,2013-Q3,4670784,78684,1.7
3, Queensland,2013-Q4,4685439,74135,1.6
3, Queensland,2014-Q1,4705187,70757,1.5
3, Queensland,2014-Q2,4719653,66829,1.4
3, Queensland,2014-Q3,4734613,63829,1.4
3, Queensland,2014-Q4,4747263,61824,1.3
3, Queensland,2015-Q1,4764439,59252,1.3
3, Queensland,2015-Q2,4777692,58039,1.2
3, Queensland,2015-Q3,4791520,56907,1.2
3, Queensland,2015-Q4,4804933,57670,1.2
3, Queensland,2016-Q1,4826538,62099,1.3
3, Queensland,2016-Q2,4845152,67460,1.4
3, Queensland,2016-Q3,4865837,74317,1.6
3, Queensland,2016-Q4,4884196,79263,1.6
3, Queensland,2017-Q1,4907899,81361,1.7
3, Queensland,2017-Q2,4928374,83222,1.7
3, Queensland,2017-Q3,4947595,81758,1.7
3, Queensland,2017-Q4,4963989,79793,1.6
3, Queensland,2018-Q1,4989365,81466,1.7
3, Queensland,2018-Q2,5010502,82128,1.7
3, Queensland,2018-Q3,5032021,84426,1.7
3, Queensland,2018-Q4,5051610,87621,1.8
3, Queensland,2019-Q1,5075919,86554,1.7
3, Queensland,2019-Q2,5094718,84216,1.7
3, Queensland,2019-Q3,5116786,84765,1.7
3, Queensland,2019-Q4,5136760,85150,1.7
3, Queensland,2020-Q1,5162498,86579,1.7
3, Queensland,2020-Q2,5175003,80285,1.6
3, Queensland,2020-Q3,5182372,65586,1.3
3, Queensland,2020-Q4,5193207,56447,1.1
4, South Australia,2000-Q1,1496828,7099,0.5
4, South Australia,2000-Q2,1497503,6569,0.4
4, South Australia,2000-Q3,1498934,5904,0.4
4, South Australia,2000-Q4,1500129,4911,0.3
4, South Australia,2001-Q1,1502299,5471,0.4
4, South Australia,2001-Q2,1503461,5958,0.4
4, South Australia,2001-Q3,1504992,6058,0.4
4, South Australia,2001-Q4,1507825,7696,0.5
4, South Australia,2002-Q1,1510013,7714,0.5
4, South Australia,2002-Q2,1511567,8106,0.5
4, South Australia,2002-Q3,1513662,8670,0.6
4, South Australia,2002-Q4,1515723,7898,0.5
4, South Australia,2003-Q1,1518570,8557,0.6
4, South Australia,2003-Q2,1520399,8832,0.6
4, South Australia,2003-Q3,1522193,8531,0.6
4, South Australia,2003-Q4,1524727,9004,0.6
